,EPI,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
0,4,0,1,10,10,10,2,1,0,10.0,10.0,1.0,5.0,6,6,7.0,7,7,6.0,10.0
1,5,5,8,10,8,9,6,3,0,10.0,10.0,6.0,6.0,3,3,9.0,3,5,7.0,10.0
2,9,10,10,10,10,5,9,10,9,8.0,10.0,2.0,7.0,10,10,10.0,9,9,9.0,9.0
3,4,3,1,10,9,9,4,6,1,9.0,10.0,8.0,7.0,10,10,0.0,9,9,1.0,10.0
4,4,3,6,10,9,10,3,3,0,6.0,4.0,6.0,6.0,6,6,0.0,5,4,8.0,10.0
5,5,5,1,2,2,9,7,5,0,10.0,10.0,3.0,1.0,9,9,8.0,8,9,9.0,10.0
6,7,9,10,10,10,10,9,9,1,4.0,0.0,7.0,7.0,8,8,7.0,7,7,9.0,10.0
7,5,2,1,10,10,10,5,2,0,10.0,10.0,8.0,2.0,9,9,10.0,8,8,9.0,10.0
8,7,9,10,10,9,8,8,7,0,6.0,3.0,7.0,4.0,9,8,10.0,9,8,5.0,6.0
9,7,7,8,5,3,7,9,9,7,7.0,10.0,4.0,4.0,8,7,9.0,9,9,6.0,6.0
10,6,5,5,10,10,9,5,6,0,7.0,10.0,2.0,5.0,10,10,8.0,9,9,4.0,10.0
11,5,8,10,10,10,10,9,10,1,2.0,0.0,7.0,6.0,1,1,2.0,5,5,5.0,10.0
12,8,8,10,9,7,2,10,10,9,7.0,0.0,8.0,3.0,10,10,7.0,10,10,7.0,5.0
13,6,8,7,10,8,8,8,10,0,10.0,10.0,10.0,3.0,7,7,8.0,7,7,4.0,10.0
14,8,7,10,8,5,7,10,10,10,6.0,0.0,7.0,5.0,8,7,5.0,9,7,8.0,8.0
15,7,6,7,10,9,10,7,0,4,10.0,10.0,8.0,7.0,10,10,7.0,9,10,7.0,10.0
16,8,8,9,8,8,7,8,10,9,8.0,10.0,8.0,3.0,10,10,4.0,10,10,9.0,5.0
17,9,10,10,10,9,2,10,10,10,8.0,0.0,3.0,2.0,10,10,10.0,10,10,9.0,7.0
18,6,6,10,5,3,7,8,6,7,8.0,10.0,6.0,1.0,3,6,8.0,2,2,10.0,4.0
19,7,7,10,6,5,4,10,10,7,7.0,6.0,9.0,5.0,8,8,8.0,6,8,9.0,3.0
20,6,6,7,10,10,9,7,7,0,6.0,10.0,1.0,4.0,9,9,9.0,9,9,8.0,10.0
21,4,0,1,10,10,9,4,1,0,10.0,10.0,4.0,5.0,10,10,9.0,7,8,7.0,10.0
22,8,8,10,7,4,3,9,9,9,8.0,10.0,4.0,1.0,10,10,10.0,10,10,9.0,8.0
23,7,6,7,10,10,9,8,7,7,6.0,10.0,4.0,1.0,9,9,7.0,9,9,7.0,10.0
