#,EPI,EPI1,EPI2,EPI3,EPI4,EPI5,EPI6,EPI7,EPI8,EPI9,EPI10,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
"0,007392745977847",4,3,4,1,1,5,4,2,2,4,4,3,0,1,10,10,10,2,1,0,10,10,1,5,6,6,7,7,7,,10
"0,017631914446928",5,5,6,1,1,6,6,3,3,6,6,4,5,8,10,8,9,6,3,0,10,10,,6,3,3,9,3,5,7,10
"0,031048255794439",9,9,9,9,9,8,9,9,9,9,9,9,10,10,10,10,5,9,10,9,8,10,2,7,10,10,10,9,9,9,9
"0,033238041035384",4,4,4,1,1,5,4,3,3,5,4,3,3,1,10,9,9,4,6,1,,,,7,10,10,0,9,9,1,10
"0,035784653229742",4,4,5,0,1,5,4,2,2,5,5,3,3,6,10,9,10,3,3,0,,,,6,6,6,0,5,4,8,10
"0,035993558603536",5,4,4,0,0,5,4,2,2,4,4,3,5,1,2,2,9,7,5,0,10,10,3,,9,9,,8,9,,10
"0,039572413769777",7,7,6,1,2,7,7,4,4,7,7,5,9,10,10,10,10,9,9,1,4,0,7,7,8,8,7,7,7,,10
"0,044357111923923",5,5,6,0,1,6,5,3,3,6,6,4,2,1,10,10,10,5,2,0,10,10,8,,9,9,,8,8,9,10
"0,051687876892619",7,7,7,1,1,7,7,4,4,7,7,5,9,10,10,9,8,8,7,0,6,3,7,4,9,8,10,9,8,5,6
"0,051915176813288",7,7,7,7,7,7,7,7,7,7,7,7,7,8,5,3,7,9,9,7,7,10,4,4,8,7,9,9,9,6,6
"0,065247243584717",6,5,6,0,1,6,5,3,3,6,6,4,5,5,10,10,9,5,6,0,7,10,2,,10,10,,9,9,4,10
"0,066164913677432",5,6,5,1,2,5,5,3,4,5,5,4,8,10,10,10,10,9,10,1,2,0,,6,1,1,2,5,5,,10
"0,071714773889561",8,8,8,9,9,7,8,8,8,8,8,8,8,10,9,7,2,10,10,9,7,0,8,3,10,10,7,10,10,7,5
"0,072146674787534",6,7,7,1,1,8,7,4,4,7,7,5,8,7,10,8,8,8,10,0,10,10,10,3,7,7,8,7,7,4,10
"0,073492907730193",8,8,7,10,9,6,7,9,9,7,7,8,7,10,8,5,7,10,10,10,6,0,,5,8,7,5,9,7,8,8
"0,082328380602425",7,6,6,4,5,8,6,5,5,7,7,6,6,7,10,9,10,7,0,4,10,10,8,7,10,10,7,9,10,,10
"0,08482678108805",8,8,8,9,9,8,8,9,8,8,8,8,8,9,8,8,7,8,10,9,8,10,8,3,10,10,4,10,10,9,5
"0,086081331183697",9,9,9,10,10,7,9,9,9,8,8,9,10,10,10,9,2,10,10,10,8,0,3,2,10,10,10,10,10,9,7
"0,091687445660703",6,6,6,7,6,5,6,6,6,6,6,6,6,10,5,3,7,8,6,7,8,10,,,3,6,,2,2,10,4
"0,099072938836349",7,8,7,7,7,7,8,7,7,7,7,7,7,10,6,5,4,10,10,7,7,6,9,5,8,8,8,6,8,9,3
"0,114071051524217",6,6,7,1,1,7,7,4,4,7,7,5,6,7,10,10,9,7,7,0,6,10,1,4,9,9,9,9,9,8,10
"0,117741638289428",4,4,6,1,1,7,5,3,3,6,6,4,0,1,10,10,9,4,1,0,10,10,4,5,10,10,9,7,8,7,10
"0,118821408389557",8,8,8,9,9,8,8,9,9,8,8,8,8,10,7,4,3,9,9,9,8,10,4,1,10,10,10,10,10,9,8
"0,120844565720797",7,7,7,7,7,7,7,7,7,7,7,7,6,7,10,10,9,8,7,7,6,10,4,1,9,9,7,9,9,7,10
"0,146503355374555",9,8,8,9,9,8,8,9,9,8,8,8,8,10,10,10,10,10,10,9,7,0,,8,10,10,7,10,10,8,10
"0,152968877607491",5,5,6,1,1,6,6,3,3,6,6,4,5,3,10,7,9,6,5,0,10,10,0,2,10,10,5,9,10,5,10
"0,159767926532521",9,9,8,9,9,8,9,9,9,8,8,8,10,10,10,10,8,10,10,9,9,10,,6,8,8,2,7,8,9,10
"0,161861344039611",7,7,7,8,8,7,7,7,7,7,7,7,7,10,10,10,8,8,6,8,10,1,,7,7,7,5,6,6,3,9
"0,166467555455573",8,8,8,10,10,7,8,9,9,8,8,8,8,10,8,6,0,9,10,10,8,0,7,3,8,8,10,10,10,7,9
"0,178230212719093",9,8,8,9,8,8,8,9,8,8,8,8,9,10,8,7,5,10,10,9,9,10,8,,10,10,,10,10,8,8
"0,179895104311881",6,6,7,4,5,7,6,5,5,7,7,6,4,5,10,10,10,4,6,4,10,10,2,4,10,10,6,9,10,5,10
"0,191769426755078",7,7,7,2,2,7,7,4,4,7,7,5,8,8,10,8,8,7,7,1,8,10,1,2,8,8,9,8,8,8,7
"0,194726067305948",7,7,7,6,6,7,7,7,7,7,7,7,9,10,10,10,10,9,8,6,1,0,,4,10,10,5,10,10,5,6
"0,213211122683423",6,6,6,0,0,5,6,3,3,6,6,4,8,9,9,7,8,10,7,0,7,0,,,5,6,,6,5,10,8
"0,217817925711757",5,6,6,0,1,7,6,3,3,6,6,4,5,7,10,9,9,6,0,0,10,10,7,6,6,6,3,5,6,10,10
"0,222629589247941",6,6,6,0,0,7,6,3,3,6,6,4,7,8,7,3,9,6,10,0,9,10,10,,10,10,,9,10,,10
"0,224082294116649",6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,9,8,9,8,6,,,,6,5,5,6,4,5,0,9
"0,224155701299616",6,5,6,4,5,7,5,5,5,6,6,5,3,1,10,10,9,4,5,4,10,10,4,6,10,9,7,9,9,,10
"0,225354735266104",7,7,6,7,7,5,6,7,7,6,6,6,9,9,10,10,8,9,8,7,,,,,5,5,,5,5,6,6
"0,227310072057319",9,8,8,9,9,7,8,9,9,8,8,8,8,10,8,6,4,10,10,10,9,10,8,,8,8,,10,10,8,10
